=== LAPORAN MAPPING M3U KE EPG ===
Total ID EPG unik yang berhasil dikumpulkan: 232
==================================

✅ COCOK | ID: beINSports | Nama TV: beIN Sports 1
❌ KOSONG | ID: HUB PREMIER 7 (dari nama channel) | Nama TV: HUB PREMIER 7
❌ KOSONG | ID: Hub.Premier.7.sg | Nama TV: Hub Premier 7 HD
❌ KOSONG | ID: HUB PREMIER 8 (dari nama channel) | Nama TV: HUB PREMIER 8
❌ KOSONG | ID: Hub.Premier.8.sg | Nama TV: Hub Premier 8 HD
❌ KOSONG | ID: HUB PREMIER 9 (dari nama channel) | Nama TV: HUB PREMIER 9
❌ KOSONG | ID: Hub.Premier.1.sg | Nama TV: Hub Premier1 HD
❌ KOSONG | ID: Hub.Premier.2.sg | Nama TV: Hub Premier2 HD
❌ KOSONG | ID: Hub.Premier.3.sg | Nama TV: Hub Premier3 HD
❌ KOSONG | ID: Hub Sports 1 HD (dari nama channel) | Nama TV: Hub Sports 1 HD
❌ KOSONG | ID: Hub Sports 2 HD (dari nama channel) | Nama TV: Hub Sports 2 HD
❌ KOSONG | ID: Hub Sports 3 HD (dari nama channel) | Nama TV: Hub Sports 3 HD
❌ KOSONG | ID: Hub Sports 4 HD (dari nama channel) | Nama TV: Hub Sports 4 HD
❌ KOSONG | ID: Hub Sports 5 HD (dari nama channel) | Nama TV: Hub Sports 5 HD
❌ KOSONG | ID: Hub Sports 6 HD (dari nama channel) | Nama TV: Hub Sports 6 HD
❌ KOSONG | ID: Hub Sports 7 HD (dari nama channel) | Nama TV: Hub Sports 7 HD
❌ KOSONG | ID: Hub Sports 8 HD (dari nama channel) | Nama TV: Hub Sports 8 HD
❌ KOSONG | ID: Hubei TV (dari nama channel) | Nama TV: Hubei TV
❌ KOSONG | ID: МАТЧ ПРЕМЬЕР.ru | Nama TV: MATCH! PREMIERE 🇷🇺
❌ KOSONG | ID: Now.Sports.Premier.League.3.hk | Nama TV: Now Sports Premier League 3 HD
❌ KOSONG | ID: Now.Sports.Premier.League.1.hk | Nama TV: Now Sports Premier League1 HD
❌ KOSONG | ID: Now.Sports.Premier.League.2.hk | Nama TV: Now Sports PremierLeague 2 HD
❌ KOSONG | ID: Paris Premiere HD (dari nama channel) | Nama TV: Paris Premiere HD
✅ COCOK | ID: PremierSports | Nama TV: PREMIER SPORTS
❌ KOSONG | ID: Premier Sports 2 🇵🇭 (dari nama channel) | Nama TV: Premier Sports 2 🇵🇭
❌ KOSONG | ID: PremierSportsRugby | Nama TV: Premier Sports Rugby
❌ KOSONG | ID: Premiere Sports 1 (dari nama channel) | Nama TV: Premiere Sports 1
❌ KOSONG | ID: Premiere Sports 1 UK (dari nama channel) | Nama TV: Premiere Sports 1 UK
❌ KOSONG | ID: Premiere Sports 2 (dari nama channel) | Nama TV: Premiere Sports 2
❌ KOSONG | ID: Premiere Sports 2 UK (dari nama channel) | Nama TV: Premiere Sports 2 UK
❌ KOSONG | ID: Premiere Sports 3 (dari nama channel) | Nama TV: Premiere Sports 3
❌ KOSONG | ID: Premiere Sports 4 (dari nama channel) | Nama TV: Premiere Sports 4
❌ KOSONG | ID: Premiere Sports 5 (dari nama channel) | Nama TV: Premiere Sports 5
❌ KOSONG | ID: UNIVERSAL PREMIERE 🇺🇸 🇪🇸 (dari nama channel) | Nama TV: UNIVERSAL PREMIERE 🇺🇸 🇪🇸
❌ KOSONG | ID: VIP Premiere (dari nama channel) | Nama TV: VIP Premiere
❌ KOSONG | ID: VIP Premiere (dari nama channel) | Nama TV: VIP Premiere
❌ KOSONG | ID: Astro Premier League (dari nama channel) | Nama TV: Astro Premier League
❌ KOSONG | ID: Astro Premier League 2 (dari nama channel) | Nama TV: Astro Premier League 2
❌ KOSONG | ID: Hub.Premier.1.sg | Nama TV: Hub Premier 1 HD
❌ KOSONG | ID: Hub.Premier.2.sg | Nama TV: Hub Premier 2 HD
❌ KOSONG | ID: Hub.Premier.3.sg | Nama TV: Hub Premier 3 HD
❌ KOSONG | ID: ASTRO ARENA (dari nama channel) | Nama TV: ASTRO ARENA
❌ KOSONG | ID: ASTRO ARENA 2 (dari nama channel) | Nama TV: ASTRO ARENA 2
❌ KOSONG | ID: ASTRO ARENA BOLA (dari nama channel) | Nama TV: ASTRO ARENA BOLA
❌ KOSONG | ID: ASTRO ARENA BOLA 2 (dari nama channel) | Nama TV: ASTRO ARENA BOLA 2
❌ KOSONG | ID: ASTRO BADMINTON 2 (dari nama channel) | Nama TV: ASTRO BADMINTON 2
❌ KOSONG | ID: ASTRO CRICKET (dari nama channel) | Nama TV: ASTRO CRICKET
❌ KOSONG | ID: ASTRO FOOTBALL (dari nama channel) | Nama TV: ASTRO FOOTBALL
❌ KOSONG | ID: ASTRO GRANDSTAND (dari nama channel) | Nama TV: ASTRO GRANDSTAND
❌ KOSONG | ID: ASTRO PRIMA IP (dari nama channel) | Nama TV: ASTRO PRIMA IP
❌ KOSONG | ID: tvN Sports (dari nama channel) | Nama TV: tvN Sports
❌ KOSONG | ID: ASTRO ARENA (dari nama channel) | Nama TV: ASTRO ARENA
❌ KOSONG | ID: ASTRO ARENA 2 (dari nama channel) | Nama TV: ASTRO ARENA 2
❌ KOSONG | ID: ASTRO CRICKET (dari nama channel) | Nama TV: ASTRO CRICKET
❌ KOSONG | ID: ASTRO FOOTBALL (dari nama channel) | Nama TV: ASTRO FOOTBALL
❌ KOSONG | ID: ASTRO FOOTBALL LIVE (dari nama channel) | Nama TV: ASTRO FOOTBALL LIVE
❌ KOSONG | ID: ASTRO GOLF (dari nama channel) | Nama TV: ASTRO GOLF
❌ KOSONG | ID: ASTRO GRANDSTAND (dari nama channel) | Nama TV: ASTRO GRANDSTAND
❌ KOSONG | ID: Astro Arena (dari nama channel) | Nama TV: Astro Arena
❌ KOSONG | ID: Astro Football (dari nama channel) | Nama TV: Astro Football
❌ KOSONG | ID: SETANTA SPORT 1 (dari nama channel) | Nama TV: SETANTA SPORT 1
❌ KOSONG | ID: Setanta Sports (dari nama channel) | Nama TV: Setanta Sports
❌ KOSONG | ID: Setanta Sports 2 (dari nama channel) | Nama TV: Setanta Sports 2
❌ KOSONG | ID: PrimaSport2.ro | Nama TV: Prima Sport 2
❌ KOSONG | ID: PrimaSport3.ro | Nama TV: Prima Sport 3
❌ KOSONG | ID: PrimaSport4.ro | Nama TV: Prima Sport 4
❌ KOSONG | ID: PrimaSport5.ro | Nama TV: Prima Sport 5
❌ KOSONG | ID: Prima Sport 1 (dari nama channel) | Nama TV: Prima Sport 1
❌ KOSONG | ID: PRIMA TV (dari nama channel) | Nama TV: PRIMA TV
❌ KOSONG | ID: Prima (dari nama channel) | Nama TV: Prima
❌ KOSONG | ID: PRIMA (dari nama channel) | Nama TV: PRIMA
❌ KOSONG | ID: PRIMA_KRIMI (dari nama channel) | Nama TV: PRIMA_KRIMI
❌ KOSONG | ID: PRIMA_LOVE (dari nama channel) | Nama TV: PRIMA_LOVE
❌ KOSONG | ID: PRIMA_ZOOM (dari nama channel) | Nama TV: PRIMA_ZOOM
❌ KOSONG | ID: Abu Dhabi Sports Premium 1.ua | Nama TV: Abu Dhabi Sports 1
❌ KOSONG | ID: Abu Dhabi Sports Premium 2.ua | Nama TV: Abu Dhabi Sports 2
❌ KOSONG | ID: ACISportTV.it@SD | Nama TV: ACI Sport TV (1080p)
❌ KOSONG | ID: Africa24Sport.fr@SD | Nama TV: Africa 24 Sport (1080p)
❌ KOSONG | ID: AntenaSport.ro@SD | Nama TV: AntenaSport (1280p) [Not 24/7]
❌ KOSONG | ID: ART SPORT 1 (dari nama channel) | Nama TV: ART SPORT 1
❌ KOSONG | ID: ART SPORT 2 (dari nama channel) | Nama TV: ART SPORT 2
❌ KOSONG | ID: AS3SportTV.ve@SD | Nama TV: AS3 Sport TV (1080p)
❌ KOSONG | ID: BAHRAIN SPORTS 1 (dari nama channel) | Nama TV: BAHRAIN SPORTS 1
❌ KOSONG | ID: BAHRAIN SPORTS 2 (dari nama channel) | Nama TV: BAHRAIN SPORTS 2
❌ KOSONG | ID: BEKSports.us@West | Nama TV: BEK TV Sports West (720p)
❌ KOSONG | ID: CBSSportsGolazoNetwork.us@SD | Nama TV: CBS Sports Golazo Network
❌ KOSONG | ID: CBS Sports HQ (dari nama channel) | Nama TV: CBS Sports HQ
❌ KOSONG | ID: CYTAVISION SPORT 1 (dari nama channel) | Nama TV: CYTAVISION SPORT 1
❌ KOSONG | ID: CYTAVISION SPORT 2 (dari nama channel) | Nama TV: CYTAVISION SPORT 2
❌ KOSONG | ID: DDSports.in@SD | Nama TV: DD Sports SD (1080p)
❌ KOSONG | ID: DIGI SPORT 1 (dari nama channel) | Nama TV: DIGI SPORT 1
